,size,prob,trial,result
691,2000,0.07,91,8.0
692,2000,0.07,92,8.0
693,2000,0.07,93,9.0
694,2000,0.07,94,8.0
695,2000,0.07,95,8.0
696,2000,0.07,96,8.0
697,2000,0.07,97,8.0
698,2000,0.07,98,9.0
699,2000,0.07,99,9.0
700,2000,0.08,0,8.0
701,2000,0.08,1,11.0
702,2000,0.08,2,9.0
703,2000,0.08,3,9.0
704,2000,0.08,4,11.0
705,2000,0.08,5,9.0
706,2000,0.08,6,9.0
707,2000,0.08,7,8.0
708,2000,0.08,8,9.0
709,2000,0.08,9,8.0
710,2000,0.08,10,9.0
711,2000,0.08,11,10.0
712,2000,0.08,12,9.0
713,2000,0.08,13,11.0
714,2000,0.08,14,10.0
715,2000,0.08,15,9.0
716,2000,0.08,16,11.0
717,2000,0.08,17,9.0
718,2000,0.08,18,10.0
719,2000,0.08,19,10.0
720,2000,0.08,20,10.0
721,2000,0.08,21,8.0
722,2000,0.08,22,12.0
723,2000,0.08,23,10.0
724,2000,0.08,24,9.0
725,2000,0.08,25,12.0
726,2000,0.08,26,9.0
727,2000,0.08,27,12.0
728,2000,0.08,28,10.0
729,2000,0.08,29,10.0
730,2000,0.08,30,9.0
731,2000,0.08,31,8.0
732,2000,0.08,32,10.0
733,2000,0.08,33,9.0
734,2000,0.08,34,10.0
735,2000,0.08,35,9.0
736,2000,0.08,36,8.0
737,2000,0.08,37,9.0
738,2000,0.08,38,9.0
739,2000,0.08,39,10.0
740,2000,0.08,40,9.0
741,2000,0.08,41,12.0
742,2000,0.08,42,9.0
743,2000,0.08,43,8.0
744,2000,0.08,44,10.0
745,2000,0.08,45,10.0
746,2000,0.08,46,9.0
747,2000,0.08,47,9.0
748,2000,0.08,48,12.0
749,2000,0.08,49,10.0
750,2000,0.08,50,10.0
751,2000,0.08,51,10.0
752,2000,0.08,52,9.0
753,2000,0.08,53,12.0
754,2000,0.08,54,11.0
755,2000,0.08,55,10.0
756,2000,0.08,56,9.0
757,2000,0.08,57,9.0
758,2000,0.08,58,9.0
759,2000,0.08,59,12.0
760,2000,0.08,60,9.0
761,2000,0.08,61,9.0
762,2000,0.08,62,9.0
763,2000,0.08,63,9.0
764,2000,0.08,64,10.0
765,2000,0.08,65,9.0
766,2000,0.08,66,10.0
767,2000,0.08,67,11.0
768,2000,0.08,68,9.0
769,2000,0.08,69,10.0
770,2000,0.08,70,12.0
771,2000,0.08,71,8.0
772,2000,0.08,72,10.0
773,2000,0.08,73,10.0
774,2000,0.08,74,10.0
775,2000,0.08,75,9.0
776,2000,0.08,76,9.0
777,2000,0.08,77,9.0
778,2000,0.08,78,11.0
779,2000,0.08,79,11.0
780,2000,0.08,80,9.0
781,2000,0.08,81,9.0
782,2000,0.08,82,8.0
783,2000,0.08,83,11.0
784,2000,0.08,84,9.0
785,2000,0.08,85,9.0
786,2000,0.08,86,11.0
787,2000,0.08,87,9.0
788,2000,0.08,88,10.0
789,2000,0.08,89,10.0
790,2000,0.08,90,10.0
791,2000,0.08,91,11.0
792,2000,0.08,92,10.0
793,2000,0.08,93,9.0
794,2000,0.08,94,9.0
795,2000,0.08,95,9.0
796,2000,0.08,96,11.0
797,2000,0.08,97,9.0
798,2000,0.08,98,11.0
799,2000,0.08,99,9.0
800,2000,0.09,0,11.0
801,2000,0.09,1,9.0
802,2000,0.09,2,10.0
803,2000,0.09,3,9.0
804,2000,0.09,4,9.0
805,2000,0.09,5,10.0
806,2000,0.09,6,10.0
807,2000,0.09,7,9.0
808,2000,0.09,8,9.0
809,2000,0.09,9,10.0
810,2000,0.09,10,9.0
811,2000,0.09,11,11.0
812,2000,0.09,12,10.0
813,2000,0.09,13,10.0
814,2000,0.09,14,10.0
815,2000,0.09,15,11.0
816,2000,0.09,16,10.0
817,2000,0.09,17,11.0
818,2000,0.09,18,10.0
